functional_area,program_name,run_id,table_name,source_record_count,ignored_record_count,orphan_record_count,source_considered_count,source_errored_count,source_converted_count,quarter
Buy-In,BUY_MS_OUTBOUND               ,TST05     ,b_mcare_outbound_merge        ,20721,0,0,20721,0,20721, 
Buy-In,BUY_MS_OUTBOUND               ,TST08     ,b_mcare_outbound_merge        ,92818,0,0,92818,0,92818, 
Buy-In,BUY_MS_OUTBOUND               ,TST09     ,b_mcare_outbound_merge        ,55575,0,0,55575,0,55575, 
Buy-In,BUY_MS_OUTBOUND               ,TST10     ,b_mcare_outbound_merge        ,18332,0,0,18332,0,18332, 
Buy-In,BUY_MS_OUTBOUND               ,TST12     ,b_mcare_outbound_merge        ,74860,0,0,74860,4,74856, 
Buy-In,BUY_MS_OUTBOUND               ,TST15     ,b_mcare_outbound_merge        ,165415,0,0,165415,9,165406, 
Buy-In,BUY_MS_OUTBOUND               ,TST17     ,b_mcare_outbound_merge        ,165415,0,0,165415,9,165406, 
Buy-In,BUY_MS_OUTBOUND               ,TST18     ,b_mcare_outbound_merge        ,165415,0,0,165415,9,165406, 
Buy-In,BUY_MS_OUTBOUND               ,TST19     ,b_mcare_outbound_merge        ,237979,0,0,237979,13,237966, 
Buy-In,BUY_MS_OUTBOUND               ,TST20     ,b_mcare_outbound_merge        ,237979,0,0,237979,13,237966, 
Buy-In,BUY_MS_OUTBOUND               ,TST21     ,b_mcare_outbound_merge        ,237979,0,0,237979,13,237966, 
Buy-In,BUY_MS_OUTBOUND               ,TST23     ,b_mcare_outbound_merge        ,237979,0,0,237979,13,237966, 
Buy-In,BUY_MS_OUTBOUND               ,TST25     ,b_mcare_outbound_merge        ,237979,0,0,237979,13,237966, 
Buy-In,BUY_MS_OUTBOUND               ,TST27     ,b_mcare_outbound_merge        ,328266,0,0,328266,18,328248, 
Buy-In,BUY_MS_OUTBOUND               ,TST28     ,b_mcare_outbound_merge        ,328266,0,0,328266,18,328248, 
Buy-In,BUY_MS_OUTBOUND               ,TST30     ,b_mcare_outbound_merge        ,328266,0,0,328266,18,328248, 
Buy-In,BUY_MS_OUTBOUND               ,TST32     ,b_mcare_outbound_merge        ,328266,0,0,328266,18,328248, 
Buy-In,BUY_MS_OUTBOUND               ,TST34     ,b_mcare_outbound_merge        ,436222,0,0,436222,38,436184, 
Buy-In,BUY_MS_OUTBOUND               ,TST36     ,b_mcare_outbound_merge        ,436222,0,0,436222,38,436184, 
Buy-In,BUY_MS_OUTBOUND               ,TST38     ,b_mcare_outbound_merge        ,436222,0,0,436222,38,436184, 
Buy-In,BUY_MS_OUTBOUND               ,UAT01     ,b_mcare_outbound_merge        ,37243,0,0,37243,0,37243, 
Buy-In,BUY_MS_OUTBOUND               ,UAT02     ,b_mcare_outbound_merge        ,37243,0,0,37243,0,37243, 
Buy-In,BUY_MS_OUTBOUND               ,UAT03     ,b_mcare_outbound_merge        ,74860,0,0,74860,0,74860, 
Buy-In,BUY_MS_OUTBOUND               ,UAT05     ,b_mcare_outbound_merge        ,237979,0,0,237979,13,237966, 
Buy-In,BUY_MS_OUTBOUND               ,ALL02     ,t_cnv_outbound_driver         ,33292,0,-1                 ,33292,1,33291, 
Buy-In,BUY_MS_OUTBOUND               ,FINAL1    ,t_cnv_outbound_driver         ,46177,0,-1                 ,46177,2,46175, 
Buy-In,BUY_MS_OUTBOUND               ,FINAL2    ,t_cnv_outbound_driver         ,48511,0,-1                 ,48511,2,48509, 
Buy-In,BUY_MS_OUTBOUND               ,MOD03     ,t_cnv_outbound_driver         ,30159,0,-1                 ,30159,1,30158, 
Buy-In,BUY_MS_OUTBOUND               ,PRLM01    ,t_cnv_outbound_driver         ,25090,0,-1                 ,25090,0,25090, 
Buy-In,BUY_MS_OUTBOUND               ,PRLM02    ,t_cnv_outbound_driver         ,25090,0,-1                 ,25090,0,25090, 
Buy-In,BUY_MS_OUTBOUND               ,PRLM03    ,t_cnv_outbound_driver         ,27686,0,-1                 ,27686,0,27686, 
Buy-In,BUY_MS_OUTBOUND               ,PRLM04    ,t_cnv_outbound_driver         ,27686,0,-1                 ,27686,0,27686, 
Buy-In,BUY_MS_OUTBOUND               ,PRLM05    ,t_cnv_outbound_driver         ,21544,0,-1                 ,21544,0,21544, 
Buy-In,BUY_MS_OUTBOUND               ,TRAD01    ,t_cnv_outbound_driver         ,27536,0,-1                 ,27536,0,27536, 
Buy-In,BUY_MS_OUTBOUND               ,TST03     ,t_cnv_outbound_driver         ,20609,0,-1                 ,20609,0,20609, 
Buy-In,BUY_MS_OUTBOUND               ,TST04     ,t_cnv_outbound_driver         ,20609,0,-1                 ,20609,0,20609, 
Buy-In,BUY_MS_OUTBOUND               ,TST05     ,t_cnv_outbound_driver         ,20609,0,-1                 ,20609,0,20609, 
Buy-In,BUY_MS_OUTBOUND               ,TST08     ,t_cnv_outbound_driver         ,24477,0,-1                 ,24477,0,24477, 
Buy-In,BUY_MS_OUTBOUND               ,TST09     ,t_cnv_outbound_driver         ,24477,0,-1                 ,24477,0,24477, 
Buy-In,BUY_MS_OUTBOUND               ,TST12     ,t_cnv_outbound_driver         ,27536,0,-1                 ,27536,1,27535, 
Buy-In,BUY_MS_OUTBOUND               ,TST15     ,t_cnv_outbound_driver         ,33292,0,-1                 ,33292,1,33291, 
Buy-In,BUY_MS_OUTBOUND               ,TST17     ,t_cnv_outbound_driver         ,33292,0,-1                 ,33292,1,33291, 
Buy-In,BUY_MS_OUTBOUND               ,TST18     ,t_cnv_outbound_driver         ,33292,0,-1                 ,33292,1,33291, 
Buy-In,BUY_MS_OUTBOUND               ,TST19     ,t_cnv_outbound_driver         ,37236,0,-1                 ,37236,1,37235, 
Buy-In,BUY_MS_OUTBOUND               ,TST20     ,t_cnv_outbound_driver         ,37236,0,-1                 ,37236,1,37235, 
Buy-In,BUY_MS_OUTBOUND               ,TST21     ,t_cnv_outbound_driver         ,37236,0,-1                 ,37236,1,37235, 
Buy-In,BUY_MS_OUTBOUND               ,TST23     ,t_cnv_outbound_driver         ,37236,0,-1                 ,37236,1,37235, 
Buy-In,BUY_MS_OUTBOUND               ,TST25     ,t_cnv_outbound_driver         ,37236,0,-1                 ,37236,1,37235, 
